Title,Price,Condition,Mileage,Year,Engine Capacity,Brand,Model
2012 Toyota VELLFIRE 2.4 2pw Dor 8Seat 360 1yWrnty,67800.0,Used,124999,2012.0,2362.0,Toyota,VELLFIRE
2023 Toyota ALPHARD 2.5 Z DIM BSM,309700.0,Recon,12499,,2493.0,Toyota,ALPHARD
2020 Toyota ALPHARD 2.5 SC DIM BSM SR,201700.0,Recon,42499,,2493.0,Toyota,ALPHARD
2023 Toyota ALPHARD 2.5 Z 6A 1K MILEAGE,313700.0,Recon,2499,,2493.0,Toyota,ALPHARD
2020 Toyota ALPHARD 2.5 X 2PD pre crash,172700.0,Recon,37499,,2493.0,Toyota,ALPHARD
2023 Mercedes Benz E200 2.0 AVNTGRDE C&C Wrnty2027,215800.0,Used,67499,2023.0,1991.0,Mercedes,Benz
2017 Mercedes Benz E200 Ori AMG JPN IMPOT 2Y Wrnty,134800.0,Used,12499,2017.0,1991.0,Mercedes,Benz
"Proton IRIZ 1.6 PREMIUM (A) FULL LOAN , CAR KING",24800.0,Used,72499,,1597.0,Proton,IRIZ
2015 Volkswagen GOLF R 2.0 MK7 Local Stage3 432Whp,125900.0,Used,47499,2015.0,1984.0,Volkswagen,GOLF
OFFER Perodua ALZA SE Advance OriPaint BodyKit DVD,30900.0,Used,67499,2017.0,1495.0,Perodua,ALZA
2017 Mercedes Benz E200 AMG W213 F/ServRec LowMile,109900.0,Used,42499,2017.0,1991.0,Mercedes,Benz
2019 BMW 530e G30 M-SPORT iPerformance F/S/Rec 59K,106900.0,Used,52499,2019.0,1998.0,BMW,530e
Fully Loaded Honda CIVIC B20B K20A K24 Type R VTEC,62900.0,Used,184999,1995.0,1590.0,Honda,CIVIC
"2015 Nissan TEANA 2.5 XV (A) FULL LOAN , CAR KING",29800.0,Used,97499,,2488.0,Nissan,TEANA
2012 LOAN KEDAI Mercedes Benz C200 (A) W204 CGI,26980.0,Used,114999,,1796.0,Mercedes,Benz
2015 Perodua MYVI 1.3 PREMIUM X AV WARRANTY TIPTOP,23800.0,Used,92499,2015.0,1298.0,Perodua,MYVI
TRUE 2014 Toyota VIOS 1.5 (A) 1 OWNER SELLING FAST,27800.0,Used,104999,2014.0,1497.0,Toyota,VIOS
2018 Perodua AXIA 1.0 ADVANCE LEATHER SEAT AV SPEC,25800.0,Used,62499,2018.0,998.0,Perodua,AXIA
2020 Perodua ALZA 1.5 AV FULL SERVICE LOW MILEAGE,51800.0,Used,42499,2020.0,1495.0,Perodua,ALZA
2015 Honda CR-V 2.0 ANDROID PLAYER LEATHER SEAT,43800.0,Used,92499,,1997.0,Honda,CR-V
Volkswagen GOLF 1.4 TSI MK7 GTI BODYKIT BLACK RIMS,37800.0,Used,92499,2013.0,1395.0,Volkswagen,GOLF
"2020 Lexus RX300 F SPORT 2.0 21K KM,RED SEAT,PROOF",260000.0,Recon,22499,,1998.0,Lexus,RX300
2023 Lexus RX350 2.4 F SPORT TRD/SUPER HIGH SPEC,395000.0,Recon,17499,,2393.0,Lexus,RX350
"2023 Toyota ALPHARD 2.5 Z 5A,30 UNIT,HUD,MODELISTA",348000.0,Recon,7499,,2493.0,Toyota,ALPHARD
2021 Toyota ALPHARD 2.5 SC SUNROOF DIM BSM UNREG,226000.0,Recon,27499,,2493.0,Toyota,ALPHARD
2018/2022 Toyota ALPHARD 2.5 SC (A),201800.0,Used,72499,2018.0,2493.0,Toyota,ALPHARD
2011 Perodua MYVI 1.3 EZi FACELIFT (A),15200.0,Used,97499,2011.0,1298.0,Perodua,MYVI
2018 Perodua MYVI 1.5 ADVANCE (A),40800.0,Used,62499,2018.0,1496.0,Perodua,MYVI
2020 Toyota ALPHARD 2.5 S TYPE GOLD (A),242000.0,Recon,32499,,2493.0,Toyota,ALPHARD
S70 DISINI DISKAUN PALING TiNGGI LAST 4 UNIT SAJA,86000.0,New,2499,,1477.0,Unknown,Unknown
S70 HARGA TERENDAH DISiNI CALL SAYA REBATE TETINGI,70800.0,New,2499,,1477.0,Unknown,Unknown
S70 DISKAUN TETiNGGI CALL DAPAT HARGA PALING MURAH,82800.0,New,2499,,1477.0,Unknown,Unknown
2025 Perodua AXIA SE MY23 D74A (A),44000.0,New,2499,,998.0,Perodua,AXIA
2007 Toyota VIOS 1.5 G FACELIFT (A),14900.0,Used,194999,,1497.0,Toyota,VIOS
2011 Proton SAGA 1.3 FL (A),9800.0,Used,134999,2011.0,1332.0,Proton,SAGA
2011 Proton PERSONA 1.6 ELEGANCE BASE LINE (A),10900.0,Used,134999,2011.0,1597.0,Proton,PERSONA
2022 Bmw 420i 2.0 COUPE M SPORT GRADE 5A UNREG,233000.0,Recon,27499,,1998.0,BMW,420i
2014 Proton PREVE 1.6 EXECUTIVE (A),18800.0,Used,144999,2014.0,1597.0,Proton,PREVE
2018 Bmw X5 2.0 xDRIVE40e M SPORT BMW Wnty 2026,95800.0,Used,92499,2018.0,1997.0,BMW,X5
"2019 Nissan X-TRAIL 2.0 MID (A) 7 Seater, 360 CAM",67800.0,Used,82499,2019.0,1997.0,Nissan,X-TRAIL
NEGO 2022 Porsche 911 CARRERA 4S SPORT DESIGN PACK,1030000.0,Recon,7499,,2981.0,Porsche,911
2022 Volvo V60 2.0 RECHARGE T8 Inscription,200888.0,Used,37499,2022.0,1969.0,Volvo,V60
