Title,Price,Condition,Mileage,Year,Engine Capacity
2017 Honda JAZZ 1.5 V (A) FULL SERVICE RECORD,"RM 48,800",Used,45000 - 49999,2017,1497cc
Proton IRIZ 1.6 PREMIUM (A) FULL SERVICE RECORD,"RM 24,800",Used,140000 - 149999,2019,1597cc
2018 Volkswagen PASSAT 1.8 TSI (A) MEMORY SEATS,"RM 54,800",Used,130000 - 139999,2018,1798cc
2023 Toyota ALPHARD 2.5 Z (A) UNREG,"RM 337,000",Recon,5000 - 9999,N/A,2493cc
2020 Proton X70 TGDI PREMIUM 2WD 1.8L (A)45KMILEAG,"RM 57,800",Used,45000 - 49999,2020,1799cc
2022 Proton PERSONA STANDARD 1.6L (A)ORI PAINT,"RM 33,800",Used,40000 - 44999,2022,1597cc
2015 Perodua MYVI 1.5 SE FACELIFT (A)ORILOWMILEAGE,"RM 28,800",Used,95000 - 99999,2015,1495cc
2019 Mazda CX-5 2.0 G 2WD HIGH SPEC FACELIFT (A),"RM 84,800",Used,90000 - 94999,2019,1998cc
2018 Ford RANGER 2.0 XLT (A)ORIGINAL LOW MILEAGE,"RM 65,800",Used,70000 - 74999,2018,1998cc
2018 Toyota HILUX 2.8 L-EDITION FACELIFT (A),"RM 87,800",Used,80000 - 84999,2018,2755cc
2023 Proton PERSONA PREMIUM 1.6L (A),"RM 45,800",Used,50000 - 54999,2023,1597cc
2016 Mazda CX-5 2.2 D GLS 2WD NFL Leather Ser Recs,"RM 40,777",Used,90000 - 94999,2016,2191cc
2014 Perodua MYVI 1.3 SE ZHS (A),"RM 24,800",Used,85000 - 89999,2014,1298cc
"2023 Honda CIVIC 2.0 TYPE R FL5 (M) 18K KM,5A","RM 279,000",Recon,15000 - 19999,N/A,1996cc
2021 Mercedes Benz A35 2.0 AMG 4MATIC FULL SPECS,"RM 235,000",Recon,55000 - 59999,N/A,1991cc
2014 Toyota VIOS 1.5 TRD SPORTIVO (A) 1 OWNER,"RM 40,800",Used,130000 - 139999,2014,1497cc
2014 Perodua ALZA 1.5 SE ZS FACELIFT (A) 1 OWNER,"RM 29,800",Used,100000 - 109999,2014,1495cc
"2012 Proton SAGA 1.3 FL (A) 1 Owner, Mileage tulen","RM 9,800",Used,100000 - 109999,2012,1332cc
2015 Mazda 3 2.0 SDN HIGH SKYACTIV Leather SerRec,"RM 43,777",Used,75000 - 79999,2015,1998cc
2016 Perodua MYVI 1.5 ADVANCE FACELIFT (A) ORI KM,"RM 29,800",Used,120000 - 129999,2016,1495cc
FULL LOAN 2022 Proton X50 TGDI FLAGSHIP 1.5L (A),"RM 79,999",Used,35000 - 39999,N/A,1477cc
FULL LOAN Toyota VELLFIRE 2.4 FACELIFT,"RM 78,999",Used,100000 - 109999,N/A,2362cc
Keyless 2011 LATIO 1.6 SPORT IMPUL (A) Hatchback,"RM 13,800",Used,90000 - 94999,N/A,1598cc
2020 FULL LOAN Honda CIVIC 1.5 TC-P (A),"RM 107,999",Used,60000 - 64999,N/A,1498cc
2019 Mercedes Benz A35 2.0 AMG (A) HIGH SPECS,"RM 203,000",Recon,30000 - 34999,N/A,1991cc
F30 5YearsWarranty Nappa 2017 Bmw 318i 1.5 LCi,"RM 55,800",Used,80000 - 84999,N/A,1499cc
2016 FULL LOAN Honda CIVIC 1.8,"RM 68,999",Used,100000 - 109999,N/A,1799cc
2025 Perodua ALZA 1.5 AV MY22 (A),"RM 78,999",Used,0 - 4999,N/A,1496cc
2020 Mercedes Benz GLC300 2.0 4MATIC AMG LINE (A),"RM 245,000",Used,55000 - 59999,N/A,1991cc
2021 Porsche MACAN 2.0L 4WD PDLS 4 LED 360 Camera,"RM 318,000",Recon,55000 - 59999,N/A,1984cc
2024 Proton X70 1.5 PREMIUM 2WD  MC2 (A),"RM 90,000",New,0 - 4999,N/A,1477cc
2024 Proton SAGA 1.3 STANDARD AT MY19 FACELIFT (A),"RM 33,000",New,0 - 4999,N/A,1332cc
Volkswagen Passat 1.8 (A) ENHANCED SPORT*WARRANTY,"RM 21,800",Used,85000 - 89999,2013,1798cc
2025 Proton S70 1.5 FLAGSHIP X MY25 (A),"RM 71,800",New,0 - 4999,N/A,1477cc
Volkswagen POLO SEDAN 1.6 LIMITED EDITION*WARRANTY,"RM 17,800",Used,75000 - 79999,2015,1598cc
2025 Proton X50 1.5 TGDI FLAGSHIP MY20 (A),"RM 80,000",New,0 - 4999,N/A,1477cc
2020 Perodua AXIA 1.0 SE (A)FULL LOAN,"RM 30,800",Used,80000 - 84999,2020,998cc
2014 Perodua MYVI 1.3 EZ (A)FULL LOAN,"RM 19,800",Used,100000 - 109999,2014,1298cc
2017 Toyota VIOS 1.5 E (A)FULL LOAN,"RM 45,800",Used,90000 - 94999,2017,1496cc
2019 Perodua MYVI 1.5 (A)FULL LOAN,"RM 38,800",Used,70000 - 74999,2019,1496cc
NEGO 2020 Range Rover VOGUE 5.0 AUTOBIOGRAPHY LWB,"RM 650,000",Recon,45000 - 49999,N/A,4999cc
2021 Audi Q5 TFSI QUATTRO 2.0L FSR UNDER WARRANTY,"RM 248,800",Used,50000 - 54999,N/A,1984cc
Mazda 3 2.0 SEDAN HIGH SKYACTIV FACELIFT FULL SRVR,"RM 65,800",Used,90000 - 94999,2017,1998cc
2020 Lexus RX300 Version L 4Cam HUD BSM RX 300 NFL,"RM 232,000",Recon,40000 - 44999,N/A,1998cc
2021 Mercedes Benz C200 1.5 AMG Wagon  (A),"RM 188,000",Recon,35000 - 39999,N/A,1497cc
NEW 2025 Proton SAGA 1.3 STANDARD PER REG  DISC 4K,"RM 34,800",New,0 - 4999,N/A,1332cc
RECOND Toyota VELLFIRE 3.5 VL (A) FulLOAN🔥FulSPEC,"RM 200,000",Recon,40000 - 44999,N/A,3456cc
Honda CR-V 2.4 4WD FACELIFT (A)*WARRANTY*TIPTOP,"RM 38,800",Used,75000 - 79999,N/A,2354cc
Honda CR-V 2.4 4WD FACELIFT (A)*WARRANTY*TIPTOP,"RM 49,800",Used,85000 - 89999,2015,2354cc
2020 Honda CIVIC 1.5 TC-P (A),"RM 108,800",Used,80000 - 84999,N/A,1498cc
Honda CIVIC 2.0 NAVI FACELIFT (A)*TIPTOP *WARRANTY,"RM 44,800",Used,80000 - 84999,N/A,1997cc
2016-Peugeot 408 1.6 GRIFFE THP (A)LOAN/CASH,"RM 11,770",Used,95000 - 99999,N/A,1598cc
Honda ACCORD 2.4 I-VTEC (A) *TIPTOP *WARRANTY,"RM 40,800",Used,85000 - 89999,N/A,2356cc
2017 Mercedes Benz C200 2.0 AMG LINE (CKD) (A),"RM 115,800",Used,85000 - 89999,N/A,1991cc
2016-Peugeot 408 2.0 (A)LOAN/CASH,"RM 9,770",Used,95000 - 99999,N/A,1997cc
Chevrolet CRUZE 1.8 SPORT EDITION mileage 42xxx,"RM 16,770",Used,40000 - 44999,N/A,1796cc
2022 Lexus NX 250 2.5 360 Camera HUD PCS Unreg,"RM 259,000",Recon,30000 - 34999,N/A,2487cc
2008 Honda CIVIC 2.0 i-VTEC (A) 🏆🏆PADDLE SHIFT+-,"RM 28,800",Used,100000 - 109999,N/A,1998cc
Proton PERSONA EXECUTIVE 1.6L (A) HIGH SPEC*L/SEAT,"RM 29,800",Used,35000 - 39999,N/A,1597cc
Honda JAZZ FIT RS 1.5 V (A) i-VTEC *3 YEARS WRNTY,"RM 47,800",Used,65000 - 69999,N/A,1497cc
Mazda CX-5 2.5 2WD (A) SUNROOF *BOSE SOUND *WRNTY,"RM 39,800",Used,85000 - 89999,N/A,2488cc
Honda ACCORD 2.0 VTi-L FACELIFT (A) *3 YRS WRNTY,"RM 64,800",Used,65000 - 69999,N/A,1997cc
X70 DISINI CASH REBATE TERTiNGGI PM SAYA LIMITED STOCK,"RM 99,800",New,0 - 4999,N/A,1477cc
Ford RANGER 2.2 XLT FACELIFT T8 4x4 6Sp CBU H/SPEC,"RM 81,800",Used,40000 - 44999,2022,2198cc
LANDCRUISER 4.6 ZX URJ202W FL J300 MODELLISTA Rg15,"RM 158,800",Used,75000 - 79999,2012,4608cc
